AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,Sugarcane,2004,72360.49653474016,0,4,57190.63316642941,15169.863368310747,False
North America,Rice,2010,80726.18176843261,3,2,49156.180295417726,31570.001473014883,True
South America,Barley,2003,98884.14941358884,5,0,90711.61130812927,8172.538105459564,False
Asia,Rice,2012,60716.54281552098,1,2,56013.194085541494,4703.348729979487,False
South America,Sugarcane,2010,80878.16474729602,5,4,35167.10288983084,45711.061857465174,True
North America,Corn,2002,96302.2825369326,3,1,59513.091488583326,36789.191048349276,True
Africa,Corn,2000,94496.56283215008,0,1,88133.98449319243,6362.578338957654,False
South America,Corn,2005,14967.103028993644,5,1,26671.34510213793,11704.242073144285,True
Africa,Sugarcane,2017,41232.83851907868,0,4,48385.39517736938,7152.556658290698,False
Asia,Corn,2009,33075.01604957316,1,1,35688.35100682096,2613.3349572477964,False
Africa,Soybean,2004,9605.576480084585,0,3,43741.77213116367,34136.195651079084,True
Africa,Barley,2009,63690.83671618509,0,0,13142.484643326645,50548.35207285845,True
Europe,Rice,2011,73854.55670640423,2,2,72531.5013828783,1323.0553235259285,False
Europe,Rice,2001,84964.68145122146,2,2,82474.13981825224,2490.5416329692234,False
Oceania,Sugarcane,2012,13154.91207660814,4,4,24194.20425241908,11039.29217581094,True
Europe,Corn,2007,87767.96351165409,2,1,49628.10617259135,38139.857339062735,True
Africa,Corn,2001,64649.63079781107,0,1,47570.88446462807,17078.746333183,False
North America,Wheat,2019,70690.66737871243,3,5,66019.86442478273,4670.802953929699,False
Africa,Barley,2000,91151.7763504901,0,0,86543.83305965025,4607.943290839845,False
North America,Soybean,2004,62851.36583328186,3,3,53845.4643600338,9005.901473248057,False
North America,Rice,2008,34250.71985783368,3,2,41828.43238373093,7577.712525897245,False
Europe,Wheat,2016,82685.62581084332,2,5,80228.8767724381,2456.7490384052217,False
South America,Wheat,2008,36942.86200731396,5,5,43934.99054664795,6992.128539333986,False
Asia,Sugarcane,2010,4388.582971232383,1,4,10896.7588375348,6508.1758663024175,True
Europe,Rice,2014,83234.79614995973,2,2,87155.74921554049,3920.953065580761,False
Europe,Sugarcane,2005,35174.02234324628,2,4,38252.37187566616,3078.349532419881,False
South America,Soybean,2002,77609.61779693268,5,3,75984.73545024781,1624.8823466848698,False
Asia,Wheat,2016,36913.0315719286,1,5,44653.36198947326,7740.330417544661,False
