AREA,YEAR,VALUE,AREA_ENCODED,PREDICTED,ERROR,SUSPICIOUS
South America,2003,98884.14941358884,5,91463.57396332682,7420.575450262011,False
Asia,2012,60716.54281552098,1,47325.91459893574,13390.628216585239,False
South America,2010,80878.16474729602,5,61678.18138736189,19199.98335993413,False
North America,2002,96302.2825369326,3,71898.59416021488,24403.68837671772,False
Africa,2000,94496.56283215008,0,69971.11909621612,24525.443735933964,False
South America,2005,14967.103028993644,5,59315.09374369295,44347.99071469931,True
Africa,2017,41232.83851907868,0,17510.086913947765,23722.751605130914,True
Asia,2009,33075.01604957316,1,28865.155779312467,4209.860270260695,False
Africa,2004,9605.576480084585,0,57378.95587913352,47773.379399048936,True
Africa,2009,63690.83671618509,0,1805.115117866947,61885.721598318145,True
Europe,2011,73854.55670640423,2,68691.68959572658,5162.8671106776455,False
Europe,2001,84964.68145122146,2,83157.41420672854,1807.2672444929194,False
Oceania,2012,13154.91207660814,4,24283.155803478065,11128.243726869925,True
Europe,2007,87767.96351165409,2,47307.568359467194,40460.395152186895,True
Africa,2001,64649.63079781107,0,45643.453836361536,19006.176961449535,False
North America,2019,70690.66737871243,3,53673.99690964579,17016.670469066637,False
Africa,2000,91151.7763504901,0,69971.11909621612,21180.657254273974,False
North America,2004,62851.36583328186,3,54384.85919322363,8466.50664005823,False
North America,2008,34250.71985783368,3,40841.91048805288,6591.1906302192,False
Europe,2016,82685.62581084332,2,75745.39664064585,6940.2291701974755,False
South America,2008,36942.86200731396,5,46686.180676004915,9743.318668690954,False
Asia,2010,4388.582971232383,1,29847.589127299267,25459.006156066884,True
Europe,2014,83234.79614995973,2,74810.96326806895,8423.832881890776,False
Europe,2005,35174.02234324628,2,47816.080323218994,12642.057979972713,True
South America,2002,77609.61779693268,5,80225.17225411335,2615.5544571806677,False
Asia,2016,36913.0315719286,1,49172.752600661464,12259.721028732863,True
