AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Oceania,Sugarcane,2005,48627.70689037101,4,4,48285.185268165355,342.52162220565515,False
Asia,Rice,2016,50204.18293330365,1,2,52252.13384848351,2047.9509151798557,False
Asia,Barley,2005,76770.27182555782,1,0,59271.20532451398,17499.06650104384,False
Oceania,Corn,2018,11195.166453800235,4,1,27409.814202602756,16214.647748802521,True
South America,Wheat,2001,34101.918319737735,5,5,40490.824873645484,6388.906553907749,False
Asia,Rice,2014,8474.833016585033,1,2,61814.635439676465,53339.80242309143,True
Oceania,Wheat,2010,75571.37585399764,4,5,63396.56107142007,12174.814782577574,False
Africa,Wheat,2007,27957.88361730965,0,5,31441.753683669005,3483.8700663593554,False
North America,Sugarcane,2018,89845.61057206953,3,4,76523.64932713506,13321.961244934471,False
North America,Sugarcane,2012,53131.26819927008,3,4,33125.590984146154,20005.677215123927,True
Asia,Corn,2011,80274.22737712598,1,1,51620.691106295184,28653.536270830795,True
South America,Barley,2004,97914.21212598016,5,0,90348.88789113708,7565.3242348430795,False
South America,Wheat,2005,84139.09708620049,5,5,77158.93481109619,6980.162275104303,False
Africa,Rice,2003,86832.38224114083,0,2,69082.80214576691,17749.580095373924,False
Asia,Soybean,2018,41390.46504111963,1,3,43037.04315803738,1646.5781169177499,False
North America,Wheat,2019,55620.53693067464,3,5,63040.94542384434,7420.4084931697,False
South America,Wheat,2000,26134.967840287125,5,5,35475.35130739427,9340.383467107142,True
Asia,Corn,2019,20415.196869651827,1,1,31011.869641293124,10596.672771641297,True
South America,Barley,2016,51045.28003149734,5,0,44488.120033344385,6557.159998152958,False
Oceania,Soybean,2011,59909.84899034164,4,3,53451.19086629155,6458.658124050089,False
South America,Sugarcane,2014,34587.853343722905,5,4,39953.41491540664,5365.561571683735,False
North America,Sugarcane,2000,57374.90825858653,3,4,54428.39536448787,2946.5128940986615,False
Europe,Rice,2013,88858.58776883679,2,2,66965.2416113081,21893.346157528693,False
Africa,Soybean,2005,56115.43689355324,0,3,43288.95154052623,12826.485353027012,False
Africa,Sugarcane,2004,72360.49653474016,0,4,55853.750376027136,16506.746158713024,False
North America,Rice,2010,80726.18176843261,3,2,45961.32850733006,34764.85326110255,True
South America,Barley,2003,98884.14941358884,5,0,90165.97387766922,8718.17553591961,False
Asia,Rice,2012,60716.54281552098,1,2,58260.70704540923,2455.8357701117493,False
South America,Sugarcane,2010,80878.16474729602,5,4,41785.856765096985,39092.30798219903,True
North America,Corn,2002,96302.2825369326,3,1,64037.0625635414,32265.2199733912,True
Africa,Corn,2000,94496.56283215008,0,1,76877.67459713275,17618.888235017337,False
South America,Corn,2005,14967.103028993644,5,1,35044.83844640138,20077.735417407734,True
Africa,Sugarcane,2017,41232.83851907868,0,4,37672.24084273153,3560.597676347148,False
Asia,Corn,2009,33075.01604957316,1,1,34819.08364691877,1744.067597345609,False
Africa,Soybean,2004,9605.576480084585,0,3,33598.240203041154,23992.663722956568,True
Africa,Barley,2009,63690.83671618509,0,0,28329.753465985894,35361.0832501992,True
Europe,Rice,2011,73854.55670640423,2,2,67271.740241294,6582.816465110227,False
Europe,Rice,2001,84964.68145122146,2,2,73983.75629885116,10980.925152370299,False
Oceania,Sugarcane,2012,13154.91207660814,4,4,26329.49257280521,13174.580496197072,True
Europe,Corn,2007,87767.96351165409,2,1,47819.637573461856,39948.32593819223,True
Africa,Corn,2001,64649.63079781107,0,1,50191.69561049039,14457.935187320683,False
North America,Wheat,2019,70690.66737871243,3,5,63040.94542384434,7649.721954868088,False
Africa,Barley,2000,91151.7763504901,0,0,71342.06929214207,19809.707058348024,False
North America,Soybean,2004,62851.36583328186,3,3,54324.610572084806,8526.755261197053,False
North America,Rice,2008,34250.71985783368,3,2,41504.6741180284,7253.954260194718,False
Europe,Wheat,2016,82685.62581084332,2,5,73507.84499824798,9177.780812595345,False
South America,Wheat,2008,36942.86200731396,5,5,46206.03946453184,9263.177457217877,False
Asia,Sugarcane,2010,4388.582971232383,1,4,17717.539874521655,13328.956903289272,True
Europe,Rice,2014,83234.79614995973,2,2,82619.67532291808,615.1208270416537,False
Europe,Sugarcane,2005,35174.02234324628,2,4,38641.72013699078,3467.697793744497,False
South America,Soybean,2002,77609.61779693268,5,3,74470.48631566094,3139.1314812717465,False
Asia,Wheat,2016,36913.0315719286,1,5,45245.64389129624,8332.61231936764,False
