AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Europe,Rice,2013,88858.58776883679,2,2,49977.4322906828,38881.15547815399,True
Africa,Soybean,2005,56115.43689355324,0,3,50376.93368555652,5738.50320799672,False
Africa,Sugarcane,2004,72360.49653474016,0,4,50087.783476833254,22272.713057906905,True
North America,Rice,2010,80726.18176843261,3,2,53418.98549565207,27307.196272780537,True
South America,Barley,2003,98884.14941358884,5,0,62627.72109539178,36256.42831819705,True
Asia,Rice,2012,60716.54281552098,1,2,48865.65078218607,11850.892033334909,False
South America,Sugarcane,2010,80878.16474729602,5,4,55064.24809519877,25813.91665209725,True
North America,Corn,2002,96302.2825369326,3,1,58950.122021438554,37352.16051549405,True
Africa,Corn,2000,94496.56283215008,0,1,55032.33457183023,39464.228260319855,True
South America,Corn,2005,14967.103028993644,5,1,60591.24211431388,45624.13908532023,True
Africa,Sugarcane,2017,41232.83851907868,0,4,42516.025463297265,1283.1869442185853,False
Asia,Corn,2009,33075.01604957316,1,1,51484.57268738188,18409.556637808717,True
Africa,Soybean,2004,9605.576480084585,0,3,50959.376609674655,41353.80012959007,True
Africa,Barley,2009,63690.83671618509,0,0,50661.941387608415,13028.895328576677,False
Europe,Rice,2011,73854.55670640423,2,2,51142.31813891907,22712.238567485154,True
Europe,Rice,2001,84964.68145122146,2,2,56966.74738010042,27997.93407112104,True
Oceania,Sugarcane,2012,13154.91207660814,4,4,52205.13781434763,39050.22573773949,True
Europe,Corn,2007,87767.96351165409,2,1,54343.68296823301,33424.280543421075,True
Africa,Corn,2001,64649.63079781107,0,1,54449.891647712095,10199.739150098976,False
North America,Wheat,2019,70690.66737871243,3,5,45562.21978006419,25128.447598648243,True
Africa,Barley,2000,91151.7763504901,0,0,55903.92770467186,35247.84864581823,True
North America,Soybean,2004,62851.36583328186,3,3,56042.04990751925,6809.31592576261,False
North America,Rice,2008,34250.71985783368,3,2,54583.87134388834,20333.15148605466,True
Europe,Wheat,2016,82685.62581084332,2,5,45615.32411980373,37070.301691039596,True
South America,Wheat,2008,36942.86200731396,5,5,55357.540810593404,18414.678803279443,True
Asia,Sugarcane,2010,4388.582971232383,1,4,48287.35036473931,43898.767393506925,True
Europe,Rice,2014,83234.79614995973,2,2,49394.98936656467,33839.80678339506,True
Europe,Sugarcane,2005,35174.02234324628,2,4,52893.78941794485,17719.767074698568,True
South America,Soybean,2002,77609.61779693268,5,3,60595.38462098525,17014.233175947433,False
Asia,Wheat,2016,36913.0315719286,1,5,43921.099687188864,7008.068115260263,False
